id,vid,tmstmp,lat,lon,hdg,pid,rt,des,pdist,dly,spd,tatripid,origtatripno,tablockid,zone,mode,psgld,stst,stsd
2165,1811,20221018 18:16:36,29.64514,-82.3469849,180,500421,13,Cottage Grove / SW 13th Street,2952,False,3,14342,710091,10131,,0,EMPTY,65700,2022-10-18
2171,1602,20221018 18:16:39,29.649694021142967,-82.40577694701393,278,500355,20,Oaks Mall,31685,False,43,14466,710204,10203,,0,EMPTY,64800,2022-10-18
2174,2106,20221018 18:16:37,29.65921000003503,-82.303905005488,89,500347,26,GNV Airport,9949,False,32,1553,708215,10261,,0,HALF_EMPTY,64800,2022-10-18
2175,1601,20221018 18:16:34,29.640893747159502,-82.34615208381594,172,500400,33,Butler Plaza Transfer Station,4886,False,15,13148,709374,10331,,0,HALF_EMPTY,65160,2022-10-18
2178,1014,20221018 18:16:34,29.64853,-82.34496,22,500387,34,Lexington Cr.,0,False,0,13202,709405,10341,,0,EMPTY,65700,2022-10-18
2184,1207,20221018 18:16:37,29.639226477420337,-82.34296193855843,67,500411,37,Reitz Union / UF Campus,26005,False,1,11894,709153,10372,,0,EMPTY,63900,2022-10-18
2186,1204,20221018 18:16:34,29.64514,-82.346983,359,189,38,Enclave,3246,False,0,2246,708301,10384,,0,EMPTY,64560,2022-10-18
2188,2114,20221018 18:16:34,29.636618972380976,-82.35046805537226,68,500452,38,HUB / UF Campus,12450,False,0,2321,708367,10383,,0,EMPTY,65100,2022-10-18
2190,2112,20221018 18:16:34,29.67490489253743,-82.38897,0,500335,43,Santa Fe,35040,False,16,2401,708383,10431,,0,EMPTY,62520,2022-10-18
2197,1810,20221018 18:16:42,29.65207369546922,-82.34285281988643,269,323,5,Oaks Mall,8994,False,0,6125,708562,10053,,0,EMPTY,64080,2022-10-18
2199,702,20221018 18:16:43,29.682575022242087,-82.33900036521399,0,346,6,PineRidge/Walmart,20232,False,34,14001,709895,10061,,0,EMPTY,64800,2022-10-18
2200,2105,20221018 18:16:43,29.63423759903985,-82.28079681708283,0,342,7,E. Meadows,23814,False,23,334,707961,10071,,0,EMPTY,64800,2022-10-18
2204,712,20221018 18:16:42,29.649711600292505,-82.3447342,0,500433,9,Reitz Union/UF Campus,21834,False,1,10970,709051,10092,,0,EMPTY,63960,2022-10-18
2206,802,20221018 18:16:41,29.65593387087887,-82.3392624655909,94,22,10,Rosa Parks/Downtown,35860,False,18,636,708038,10101,,0,EMPTY,64800,2022-10-18
2208,1811,20221018 18:16:43,29.64514,-82.3469849,180,500421,13,Cottage Grove / SW 13th Street,2952,False,8,14342,710091,10131,,0,EMPTY,65700,2022-10-18
2209,1809,20221018 18:16:41,29.673855889243768,-82.31712591067539,92,66,15,NW 13th St/ NW 23rd Ave,13127,False,20,1010,708091,10151,,0,HALF_EMPTY,64800,2022-10-18
2210,2110,20221018 18:16:43,29.63788909708981,-82.33931534016148,0,35,16,UF Health,11326,False,31,8973,708798,10161,,0,EMPTY,65220,2022-10-18
2211,2102,20221018 18:16:44,29.6380062,-82.32572,13,500382,17,Rosa Parks / Downtown,8298,True,0,8900,708747,10171,,0,EMPTY,64800,2022-10-18
2219,1202,20221018 18:16:40,29.6252747,-82.38789,177,500462,33,Midtown,0,True,0,13098,709328,10333,,0,EMPTY,65160,2022-10-18
2220,1017,20221018 18:16:41,29.6458550054311,-82.35030085737965,11,500462,33,Midtown,27942,False,0,13097,709327,10334,,0,EMPTY,64080,2022-10-18
2224,1003,20221018 18:16:41,29.62157666666667,-82.37042666666666,107,500406,35,Reitz Union / UF Campus,1,False,0,14823,710387,10352,,0,EMPTY,66000,2022-10-18
2230,1605,20221018 18:16:41,29.63464245578752,-82.3564166287296,247,189,38,Enclave,9356,False,3,2245,708300,10381,,0,HALF_EMPTY,63960,2022-10-18
2232,1903,20221018 18:16:42,29.63651,-82.35079833333333,68,500335,43,Santa Fe,3411,False,18,2403,708384,10432,,0,EMPTY,65220,2022-10-18
2239,1016,20221018 18:16:47,29.645546,-82.322725,359,323,5,Oaks Mall,0,False,0,6126,708563,10052,,0,EMPTY,65520,2022-10-18
2243,2105,20221018 18:16:46,29.63448886863689,-82.28079323809187,0,342,7,E. Meadows,23906,False,18,334,707961,10071,,0,EMPTY,64800,2022-10-18
2244,1902,20221018 18:16:47,29.63695445404254,-82.3495208790358,67,500393,8,PineRidge/Walmart,6826,False,31,374,707985,10082,,0,EMPTY,65400,2022-10-18
2248,2578,20221018 18:16:48,29.64978541228014,-82.34455676168864,91,500433,9,Reitz Union/UF Campus,21918,False,0,10971,709052,10093,,0,EMPTY,64620,2022-10-18
2249,802,20221018 18:16:47,29.655931620542507,-82.33923187657783,94,22,10,Rosa Parks/Downtown,35869,False,20,636,708038,10101,,0,EMPTY,64800,2022-10-18
2251,1811,20221018 18:16:48,29.64465296048713,-82.34691866411589,182,500421,13,Cottage Grove / SW 13th Street,3133,False,15,14342,710091,10131,,0,EMPTY,65700,2022-10-18
